body,sarcasm
"Actually, they didn't. The whole tragedy was caused by gun control. If even one student was packing when that occured, 33 lives could have been saved. But no, more victims of botched laws and corrupt politicians.",1
"What if a 13 year old girl comes up to you and asks for sex, and you agree? Are you forcing yourself on to her?",1
"In my lifetime, we've made huge strides, but there's a lot more to learn.",1
"HOLY SH*T, marc. You're doing EXACTLY WHAT THE REVIEW SAYS YOU PEOPLE DO. You're making the claim without giving any explanation. ""OMG TEH SCEINCES IS ATHIESTIC BECUZ THEY JUST AER!!""   Thanks for making it extremely clear. Refuting a point by demonstrating it isn't very effective.   Seriously, how disconnected from reality does one have to be in order to do something like this?",1
"But on the other hand, Genesis isn't a scientific document. No wonder. Why would a bronze age nomad from the Levant be aware of at least 3 tailless species of primates, or even the tailed primates from Africa, South America, and even Madigascar. If they aren't mentioned in the Bible, do they exist?",1
"...? Either you've misread what I said, twisted what I said, or you're just stupid.",1
"Oh no. The main disagreement between theistic evolutionists and Fundmentalists is that Fundies aren't worshipping God, but a false idol of their own making.",1
"2, A. Myth;   Complete fabrication.",1
Then argue with yourself. Why bother having others answer for themselves,1
More silliness on your part. Think about it. Gay couples together for 40 or 50 years. That means they were living together in the 1950s and 1960s. Those people were the foundation of the gay-pride movement.,1
What does spelling have to do with your own opinion? Again this isn't just about you although I think you did resort to correcting someone's spelling and just didn't answer the question. This has nothing to do with being entitled to your own opinion. It is equally bad for anyone to resort to personal attacks on either side of the debate.,1
"Yep when about 99.99% of a cows diet is grass...I guess we should be eating that instead.   It is hard to urinate in one corner of the toilet. If all ground that is being used for livestock is ""wonderfully transformed"" into grain production there will be many many wild species that will go extinct due to lack of uncultivated land.",1
"And the resemblance of the bill of a platypus to that of a duck is superficial. You don't actually try to learn the basic facts about anything before you speak out, do you?",1
