sarc,text
1,"What a game, end to end, chances and all that..."
1,"I love that I had a 3 o'clock doctor's appointment and an hour and 15 minutes later, I'm still waiting to be seen"
1,"I fucked up again. I'll give you a hint: first I broke it, then I rebroke it. Now I might have re-rebroken it! YAY "
1,"It's a good feeling as a parent, to rank like number 3or4  in the contact order. Makes one feel wise."
1,$EBAY up 4% after hours following earnings beat. Maybe it should buy PayPal?
1,Running on less than 2 hours of sleep is my favorite thing.
1,Saya naman ng buhay ko ngayon
1,Important question. Does WINNER debut under JTBC? or is JTBC an ent. agency? Their promotion is decent tho.
1,Let's hope Ted Cruz ends up running for the Conservatives
1,"Minister of Finance Charles Sousa should play dodgeball, he is very excellent dodging questions"
1,The Ontario Government is very efficient at using taxpayer dollars to find government programs
1,The Canadian Government is doing a great job maximizing the use of tax dollars on spending on vogue covershoots and makeup
1,Best actor ever - survey says Adam Sandler
1,So the the headliner we were supposed to see at is now the headliner at - Didn't see that coming LOL
1,Don't you just love attacks of sudden nausea and drowsiness. They are so much fun.
1,"It's said that is the lowest form of. To that I say ""No, really? Hey, somebody give this person a!"""
1,My laptop has just died. Fucking great
1,ohh today seems like it'll be loads of FUN!
1,Another perk of riding the train... The over powering smell of perfume and cologne people pile on.
1,Who likes blue cross blue shield hold music? Me. I listen to it all the time.
1,I'd like to have writer friends but I'd have to much of an ego and I'd demand to be # 1. But come on I clearly have the best ideas
1,"Just posted part 2 about the day my dad died over on the blog. Jolly stuff, pa ha ha."
1,can life get a any better
1,"Radical opinion on Santelli Exchange now: Central Banks create monetary distortions, can't believe no one ever mentioned it before"
1,I just love being sick and missing all my classes right before midterms. It's great. I'm learning a lot.
1,Oh how I love that my anxiety keeps me awake at night
1,I don't know how you have time to brag about never seeing when you're so busy being the coolest person on the planet
1,Newsom's Law of: a person's ability to detect  is inversely proportionate to how sensitive they are on a given issue.
1,No docents and no student workers- who gets to sit at the front desk and deal with people instead of getting work done? Yay me!
1,this week I learned that going to the bathroom is apparently a VERY sexual thing and needs to be legislated.
1,Happy Birthday to our Gatherer Corona! We miss your high spirit and always positive attitude!
1,Did you guys know the only have three home runs in 20 games? I only ask because apparently no one else does!
1,"lets me login, then freezes because it can't process my region/time.Email servers are a new and scary thing"
1,It would be nice to have a baby nurse in the house full time so I could just go out and run whenever I wanted to.
1,That video where they read mean tweets to female sportscasters is horrible! So glad men don't go through the same thing.
1,"Well what can I say, being a complete fuck up is coming in handy!!"
1,oh. i love the speed of our internet...
1,Awesome Start To My Morning..
1,"Insiders: TimCook will address stockholder losses when assured bathrooms, worldwide, open to all genders, races, etc"
1,I love that our Receiver at work thinks he's boss &amp; can tell me how to run my department.
1,"Being fucked over by your own friends, damn i love that!"
1,"Why is it called Hercules and not Himcules?
 
"
1,gabie na meaning kusog ng internet. SALAMAT jud kaayo Globe sa inyohang kusog na signal basta kadlawon huh? makatabang jud siya -_-
1,English Bulldog c-section. That neeeever happens...
1,Super excited to spend the next few days grading papers instead of writing
1,Shout out to the girl who said she wishes I was dead in class today. You're the real mvp needed that pick me up.
1,A1: GIFs + emojis are the obvious examples. Hashtags can help as well
1,Nothing like sitting in the waiting room for your Neurologist... For like an hour.
1,Ric Flair? Drunk at an airport? SHOCKED!
1,Skip Bayless is leaving ESPN. Just shut the doors and say good night. That company is hurting. Skip was their heartbeat.
1,I'm currently eating a pot noodle whilst watching drake bust his amazing dance moves
1,"jfc
i had to change my name to ""Dreemurrfulsins"" because my life.
*sigh* i love life."
1,Amazing how many bigots seem to have a solid grasp of Arabic &amp; are able to hear snippets of conversation &amp; know they're terrorists.
1,"""You always have such detailed reasoning with undeniable proof"""
1,"Will Carly Fiorina's resume be updated to say: I'll work for ""Sapien Sex"".....
 intended!"
1,Nothing like a satisfying cup of bone broth for lunch...which is now the 1st time that's ever been said.
1,"If you reply to my text with ""K"", I'm going to assume you want to have a deep and meaningful conversation about potassium"
1,How can anyone say no to a Cruz-Fiorina ticket? Two of the nicest people on the planet!
1,"maybe if i keep blocking each of the provocative spam accounts on skype, i will eventually block them all"
1,"It's said that is the lowest form of. To that I say ""No, really? Hey, somebody give this person a!"""
1,"For my job, I get to play with sand! Fun! # job # dirty"
