"Word","fit1.coef1","fit1.coef1.p","fit1.coef2","fit1.coef2.p","fit1.aic","fit1.bic","fit1.loglik","fit2.coef1","fit2.coef1.p","fit2.coef2","fit2.coef2.p","fit2.coef3","fit2.coef3.p","fit2.aic","fit2.bic","fit2.loglik","Inquirer","SentiWordNetPositive","SentiWordNetNegative","SentiWordNetPolarity","MicroWNOpPositive","MicroWNOpNegative","MicroWNOpPolarity","MqapPolarity","MqapStrength","Predicted","Model","RawScore","NormedScore"
"100th/a",-14.4470105901095,0,0.0129404168225592,0.983312623049287,-31.2449541593179,78.5842874429769,-31.2449541593179,-14.6049044845957,0,-0.367317203932772,0.352291692132817,1.87291227537292,0.00101541156133298,-25.9432403320796,74.4186114382366,-25.9432403320796,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",-0.367317203932772,0
"10th/a",-12.0159364043424,0,0.759155613184605,0.117569162116107,-90.3357037479942,196.765786620329,-90.3357037479942,-12.0774700593565,2.9585173711393e-274,0.539964514361597,0.0949096392271006,0.883505117587145,0.404800773810501,-49.445626735514,121.423384245105,-49.445626735514,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",0.539964514361597,0
"11th/a",-12.585458397791,0,0.915952559827023,0.0745306412032819,-36.0429879576404,88.1803550396219,-36.0429879576404,-12.700321507354,0,0.644912447932237,0.132197669831692,1.27522657421121,0.00000204630305910602,-25.0408083044661,72.6137473830095,-25.0408083044661,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",0.644912447932237,0
"12th/a",-12.7102220621765,0,0.539184049724113,0.00649525155650993,-33.4949038677396,83.08418685982,-33.4949038677396,-12.6982982716609,0,0.572630324861612,0.00851680659153853,-0.138951118337298,0.871272214236466,-31.0070231428664,84.5461770598103,-31.0070231428664,NA,0,0,"neutral",NA,NA,NA,NA,NA,"positive","Linear",0.539184049724113,0.465929695644134
"13th/a",-12.9584304808585,2.99304580086133e-72,0.66905288059069,0.146354423244854,-115.259923285277,246.614225694894,-115.259923285277,-12.9189764719152,8.97363311049467e-70,0.552728905835995,0.14444062635401,-0.121633721303211,0.875254667027825,-45.3865154962106,113.305161766499,-45.3865154962106,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",0.552728905835995,0
"14th/a",-13.0560583423556,1.81137735932904e-92,0.275943685992678,0.260384713874374,-25.3752008378026,66.8447807999462,-25.3752008378026,-13.0366336012529,2.03614728056072e-92,0.300802747538525,0.243263251258726,-0.20623454745065,0.531473707940449,-25.185404181931,72.9029391379394,-25.185404181931,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",0.300802747538525,0
"15th/a",-13.0271455592017,0,0.782757648483858,0.157736590277843,-34.4530211198506,85.0004213640421,-34.4530211198506,-13.0855282799337,0,0.686232617997705,0.0429684492594137,0.67189381443132,0.471408312918182,-29.5060748893491,81.5442805527755,-29.5060748893491,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",0.686232617997705,0
"16th/a",-12.935007012203,2.27042936234834e-164,0.65059380806914,0.134397061445414,-34.1817954612035,84.457970046748,-34.1817954612035,-13.016179513679,1.57046442026294e-156,0.538661443517413,0.168496094774019,0.744456048442545,0.0149859505824699,-31.3717382869219,85.2756073479212,-31.3717382869219,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",0.538661443517413,0
"17th/a",-12.9523869020177,2.93240776534729e-277,0.679571523617443,0.131016344151425,-34.980851630823,86.056082385987,-34.980851630823,-12.9418403768173,3.38276326110164e-267,0.540132918162073,0.153950701365153,0.175093050032752,0.870837052136003,-28.7132814951206,79.9586937643185,-28.7132814951206,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",0.540132918162073,0
"18th/a",-12.3392777509639,0,0.723591788237646,0.0249334555712043,-30.2194992039752,76.5333775322914,-30.2194992039752,-12.3368144686072,0,0.66925068641415,0.0154600963331121,0.0810499051635732,0.870704657677355,-29.3060599468746,81.1442506678267,-29.3060599468746,NA,0,0,"neutral",NA,NA,NA,NA,NA,"positive","Linear",0.723591788237646,0.600652766824883
"19th/a",-11.9533742152383,0,0.727127192664355,0.0242278163691822,-70.364793815576,156.823966755493,-70.364793815576,-11.8348787368546,0,1.07577507421426,0.00727285201143138,-1.52474848876799,0.00000000000000000318274773105271,-31.2255774029271,84.9832855799317,-31.2255774029271,NA,0,0,"neutral",NA,NA,NA,NA,NA,"positive","Quadratic",1.07577507421426,0.575760269781826
"20th/a",-11.6629808319236,0,1.17871618567284,0.00307193822766539,-34.3747921418233,84.8439634079876,-34.3747921418233,-11.7320140873829,0,0.864982466847214,0.000512903281007013,1.05512311113553,0.0397103641157191,-29.930671020058,82.3934728141933,-29.930671020058,NA,0,0,"neutral",NA,NA,NA,NA,NA,"positive","Quadratic",0.864982466847214,0.452905817259122
"21st/a",-12.5876883789454,0,0.699148322666859,0.19680814505362,-44.0289902166278,104.152359557597,-44.0289902166278,-12.6820373077838,0,0.224609379837453,0.000069136423012565,1.5737463902036,0.187956196848562,-38.5079675281757,99.5480658304288,-38.5079675281757,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",0.224609379837453,0
"23rd/a",-14.1537265096553,5.19262474888341e-202,0.546106890384738,0.527574229843859,-34.6541106399895,85.40260040432,-34.6541106399895,-14.0429841678601,7.38592440646103e-283,0.632101270198636,0.456696184826963,-1.11521439521676,0.494393818225915,-28.0010584492135,78.5342476725044,-28.0010584492135,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",0.632101270198636,0
"25th/a",-13.0278369306488,2.64662855649301e-132,1.09651784934131,0.0216606177200269,-45.0970073354089,106.288393795159,-45.0970073354089,-13.1370913641984,1.62180744287665e-125,0.949012267205445,0.0000000000000209270194261632,1.01879325444277,0.400705397210917,-28.7832767019314,80.0986841779402,-28.7832767019314,NA,0,0,"neutral",NA,NA,NA,NA,NA,"positive","Linear",1.09651784934131,0.873101985497656
"27th/a",-14.1611962288,1.95204277475571e-99,1.1888417085326,0.00000000475368759451319,-35.2961662343485,86.686711593038,-35.2961662343485,-14.2882932822258,2.00925222323908e-96,0.951200738303814,0.000038956371149324,1.24844807302749,0.0751525230214495,-33.5693221754844,89.6707751250462,-33.5693221754844,NA,0,0,"neutral",NA,NA,NA,NA,NA,"positive","Linear",1.1888417085326,0.94055118233598
"29th/a",-14.3886738729372,5.29038345578697e-150,1.62049149584539,0.000225207694418372,-22.6302912437357,61.3549616118124,-22.6302912437357,-14.5539733912302,1.99013055047267e-132,1.19494399978543,0.00147982336776619,1.80071111563158,0.00863522676029274,-19.5589204668058,61.6499717076891,-19.5589204668058,NA,0,0,"neutral",NA,NA,NA,NA,NA,"positive","Quadratic",1.19494399978543,0.645214475465956
"2d/a",-15.0805056884947,0,-0.99708343439933,0.160657599856807,-15.562029769004,47.2184386623489,-15.562029769004,-15.1617514260887,0,-0.89004411622828,0.208930494012297,-0.606246239089379,0.71746066431718,-14.0568711100161,50.6458729941097,-14.0568711100161,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",-0.89004411622828,0
"2nd/a",-10.7567144429381,2.09075716603279e-158,0.205072063500971,0.171680954320333,-103.510890622208,223.116160368757,-103.510890622208,-10.7840578518193,9.15169050477992e-144,0.199753876555244,0.348155340880278,0.208750530982741,0.712151299597975,-63.9895497086223,150.511230191322,-63.9895497086223,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",0.199753876555244,0
"3-dimensional/a",-15.4476749769674,0,0.533943391836062,0.0313951394170664,-18.7837147163698,53.6618085570807,-18.7837147163698,-15.4454517202741,0,0.53040323104845,0.0526615398686839,-0.00684720236150416,0.993168516941924,-18.7836620462829,60.0994548666432,-18.7836620462829,NA,0,0,"neutral",NA,NA,NA,NA,NA,"positive","Linear",0.533943391836062,0.462101019410821
"30th/a",-13.3302978678556,3.61782283451403e-67,1.34606432485882,0.0000000000214402257613912,-45.914836674633,107.924052473607,-45.914836674633,-13.5007694893104,2.09767199943398e-63,0.900755431881526,0.0000000000173429586798282,1.97239096269396,0.00524894272377138,-25.8139682690875,74.1600673122524,-25.8139682690875,NA,0,0,"neutral",NA,NA,NA,NA,NA,"positive","Quadratic",0.900755431881526,0.4737550685175
"35th/a",-14.4885485538455,3.01590730216162e-79,0.715607563262851,0.137074162810074,-25.7854756535814,67.6653304315038,-25.7854756535814,-14.4260562780641,2.16912928180691e-82,0.790197494668291,0.121693602112467,-0.629341771887337,0.620366948307337,-23.6894342856353,69.9109993453479,-23.6894342856353,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",0.790197494668291,0
"38th/a",-16.0483747845395,1.72015215115512e-299,1.77556028144488,0.117942723578723,-16.5334348944484,49.1612489132378,-16.5334348944484,-15.8782597513109,0,3.29262071282104,0.0559805998610144,-4.45357370895579,0.0244017009566399,-14.3595562405089,51.2512432550951,-14.3595562405089,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",3.29262071282104,0
"39th/a",-15.3930046293196,1.81205162094402e-79,1.44982942080879,0.0109771101173259,-38.5298673771656,93.1541138786722,-38.5298673771656,-15.2788065351433,2.5573977176951e-79,2.20647109229524,0.000769587635904817,-2.46886810752367,0.273601007674117,-34.0845266810956,90.7011841362685,-34.0845266810956,NA,0,0,"neutral",NA,NA,NA,NA,NA,"positive","Linear",1.44982942080879,1.13122141354054
"3rd/a",-11.7210583121389,6.20778082548955e-138,0.223222535814515,0.390712693484092,-80.5435707036178,177.181520531577,-80.5435707036178,-11.8104381792621,2.1265229639576e-137,0.14733561449398,0.610191098810517,0.784021082830844,0.124230409535854,-38.6969889935117,99.9261087611007,-38.6969889935117,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",0.14733561449398,0
"40th/a",-13.8627261117299,4.55560665773409e-65,1.17953835144476,0.142632878373986,-43.8162208610452,103.726820846431,-43.8162208610452,-14.0425933125155,2.30125415521522e-61,0.69092553490682,0.236436506610946,2.06644074559265,0.0412597394997955,-32.048849937857,86.6298306497913,-32.048849937857,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",0.69092553490682,0
"45th/a",-15.1046641681564,7.71631254407621e-90,0.384378308942051,0.470552887084176,-23.2980026078329,62.6903843400069,-23.2980026078329,-15.1510992795041,3.34876174265602e-89,0.278097097715812,0.587993482703176,0.500085159333655,0.67771651526554,-23.021451975669,68.5750347254154,-23.021451975669,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",0.278097097715812,0
"49th/a",-15.4725661346052,3.83790810284625e-237,1.00935711401045,0.393227467993547,-25.7891253120301,67.6726297484011,-25.7891253120301,-15.307685194588,9.06928722607502e-257,1.73697141939869,0.378530886153236,-4.18621950827754,0.0016600912145337,-20.8511039200711,64.2343386142196,-20.8511039200711,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",1.73697141939869,0
"4th/a",-10.9004901919298,0,0.361603841071025,0.00225557890339709,-52.543367977182,121.181115078705,-52.543367977182,-10.9242326460357,0,0.345646310830217,0.0087451842440969,0.221736769271143,0.532889800416934,-40.1554248792702,102.842980532618,-40.1554248792702,NA,0,0,"neutral",NA,NA,NA,NA,NA,"positive","Linear",0.361603841071025,0.336194624418224
"50th/a",-13.2439676566056,2.65399327702313e-135,1.29756363070532,0.0516157425981491,-50.6681517264332,117.430682577207,-50.6681517264332,-13.3855621796172,2.72040787554382e-131,0.86718050881945,0.136024609047637,1.75732111423249,0.0169250237841815,-38.3221976960245,99.1765261661264,-38.3221976960245,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",0.86718050881945,0
"5th/a",-11.4720924214143,0,0.854592744252738,0.00614478735417825,-91.1817526262458,198.457884376833,-91.1817526262458,-11.5919693668029,0,0.751290873574591,0.0224257426581479,0.99383009678182,0.0532251043475943,-44.7461038567434,112.024338487564,-44.7461038567434,NA,0,0,"neutral",NA,NA,NA,NA,NA,"positive","Linear",0.854592744252738,0.696358355235817
"60th/a",-15.0134343780574,6.09009016278273e-73,1.56868520410946,0.00154010745225872,-26.5423354641502,69.1790500526413,-26.5423354641502,-15.2359038837815,5.20448475258679e-65,1.10190279702291,0.00567213185154713,2.21266598238585,0.00342697178285966,-22.9380058023046,68.4081423786865,-22.9380058023046,NA,0,0,"neutral",NA,NA,NA,NA,NA,"positive","Quadratic",1.10190279702291,0.590988067005911
"6th/a",-12.1508716750787,0,0.380531066937066,0.14496888993343,-45.9698523043327,108.034083733006,-45.9698523043327,-12.2887799528937,0,0.230878886228003,0.326023892960784,1.12381893781465,0.000719067143553092,-31.4588318204294,85.449794414936,-31.4588318204294,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",0.230878886228003,0
"75th/a",-16.1387081468597,9.58268324446627e-232,1.65672661027556,0.188445961914184,-21.1591258368071,58.4126307979553,-21.1591258368071,-16.0779341069167,3.33913107597946e-248,1.98372630276946,0.193686407175995,-1.3264631166638,0.452673973805227,-21.0509825932067,64.6340959604908,-21.0509825932067,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",1.98372630276946,0
"7th/a",-12.5025514209483,0,0.617675009267017,0.162284850757114,-58.2920067113858,132.678392547113,-58.2920067113858,-12.545420875713,0,0.464045656740806,0.202849726354442,0.612520818017208,0.385576477471553,-41.0551049095454,104.642340593168,-41.0551049095454,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",0.464045656740806,0
"8th/a",-11.9080936505193,1.43054468986321e-267,0.356884692036328,0.299434878885657,-98.4145063275792,212.923391779499,-98.4145063275792,-12.0307905459304,1.98090244383142e-168,0.187786391449828,0.556470235241955,1.16671613077678,0.203891284879258,-53.4537366608974,129.439604095872,-53.4537366608974,NA,0,0,"neutral",NA,NA,NA,NA,NA,"neutral","None",0.187786391449828,0
